Media Source,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
@BBCNews,Sat Jun 09 19:26:19 +0000 2018,Disruptive passenger on Jet2 flight banned for life https://t.co/rxjp1YOOcw,-0.6486,0.0,0.569,0.431,37
@BBCNews,Sat Jun 09 19:12:31 +0000 2018,Welsh Labour leader-selection row points to wider struggle https://t.co/86PEpTGs58,-0.3182,0.0,0.777,0.223,38
@BBCNews,Sat Jun 09 19:01:08 +0000 2018,Trump at G7: Who's who in Merkel's photo? https://t.co/OGZos8I875,0.0,0.0,1.0,0.0,39
@BBCNews,Sat Jun 09 18:26:09 +0000 2018,Toulon Tournament: England U21s secure third successive title with 2-1 win over Mexico https://t.co/2W0gQXVFVe,0.8074,0.43,0.57,0.0,40
@BBCNews,Sat Jun 09 18:23:57 +0000 2018,"Nabil Fekir: Liverpool target staying at Lyon, says Ligue 1 club https://t.co/hTngzYS508",0.0,0.0,1.0,0.0,41
@BBCNews,Sat Jun 09 17:30:35 +0000 2018,England women lose to South Africa by seven wickets in ODI series opener https://t.co/DHhhR9VRCs,-0.4019,0.0,0.828,0.172,42
@BBCNews,Sat Jun 09 17:09:52 +0000 2018,South Africa beat England 42-39 in first Test in Johannesburg https://t.co/08MaH8SUQM,0.0,0.0,1.0,0.0,43
@BBCNews,Sat Jun 09 17:02:50 +0000 2018,Hailstorm halts M9 motorway traffic https://t.co/qi7hyVjwtH,0.0,0.0,1.0,0.0,44
@BBCNews,Sat Jun 09 17:00:26 +0000 2018,Stalking victim calls for harsher sentences https://t.co/NrElQRGG99,-0.6249,0.114,0.381,0.505,45
@BBCNews,Sat Jun 09 16:16:49 +0000 2018,"RT @BBCWorld: Inside Afghanistan's only secure psychiatric unit.  The BBC investigates the lasting effects of conflict in the country. 
(Th…",0.0258,0.106,0.793,0.101,46
@BBCNews,Sat Jun 09 16:02:33 +0000 2018,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",0.3612,0.128,0.872,0.0,47
@BBCNews,Sat Jun 09 16:00:23 +0000 2018,"World Cup 2018: Young players to watch in Russia - including 'El Chucky', 'The Sergeant' &amp; 'The Bull' https://t.co/a445gltfrF",0.0,0.0,1.0,0.0,48
@BBCNews,Sat Jun 09 15:58:02 +0000 2018,French Open 2018: Simona Halep beats Sloane Stephens in final https://t.co/5n2QG6NfBq,0.0,0.0,1.0,0.0,49
@BBCNews,Sat Jun 09 15:58:01 +0000 2018,SNP conference: Sturgeon announces 'immediate' NHS pay rise https://t.co/gruK54Mlv1,-0.1027,0.0,0.851,0.149,50
@BBCNews,Sat Jun 09 15:28:40 +0000 2018,England v South Africa: Sarah Taylor's quick glovework sees Sune Luus dismissed for duck https://t.co/2U4w8asIfp,0.0,0.0,1.0,0.0,51
@BBCNews,Sat Jun 09 15:11:21 +0000 2018,"Trooping the Colour: Four things about the event that celebrates the Queen's official birthday
👑… https://t.co/SGNEkrd9yo",0.5719,0.198,0.802,0.0,52
@BBCNews,Sat Jun 09 14:45:34 +0000 2018,"RT @BBCWorld: US President @realDonaldTrump says he is ""on a mission of peace"" when he travels to Singapore to meet Kim Jong-un for the US-…",0.5423,0.132,0.868,0.0,53
@BBCNews,Sat Jun 09 14:45:31 +0000 2018,"RT @BBCWorld: ""The United States has been taken advantage of for decades.. and we can't do that anymore""- US President @realDonaldTrump on…",0.5859,0.194,0.806,0.0,54
@BBCNews,Sat Jun 09 14:28:44 +0000 2018,WSBK: Rea breaks victories record in Brno with 60th win https://t.co/4MouNPtf0I,0.5859,0.275,0.725,0.0,55
@BBCNews,Sat Jun 09 14:21:44 +0000 2018,Trooping the Colour: Royals watch RAF flypast for Queen's birthday https://t.co/xx6aNoZ55V,0.0,0.0,1.0,0.0,56
@BBCNews,Sat Jun 09 13:49:20 +0000 2018,"The first Bond girl, Eunice Grayson, dies at 90 https://t.co/NZNj4GVnYB",0.0,0.0,1.0,0.0,57
@BBCNews,Sat Jun 09 13:46:58 +0000 2018,John Lasseter: Disney animation head to quit after misconduct claims https://t.co/dZd3Hh8zQf,0.0,0.0,1.0,0.0,58
@BBCNews,Sat Jun 09 13:46:58 +0000 2018,Birthday Honours 2018: CBE for Network Rail boss 'slap in the face' https://t.co/buXxv6ntjT,0.5859,0.304,0.696,0.0,59
@BBCNews,Sat Jun 09 13:22:54 +0000 2018,"RT @BBCSport: Australia have ended Ireland's 12-game winning run.

👉 https://t.co/Msu0iZutc9

#bbcrugby https://t.co/FEdrdvYadC",0.5267,0.185,0.815,0.0,60
@BBCNews,Sat Jun 09 13:14:55 +0000 2018,"RT @BBCNews: Serena Williams should be ready for Wimbledon, says her coach https://t.co/wWMQmZEckl",0.3612,0.172,0.828,0.0,61
